,rating,date,variation,verified_reviews,feedback
20,positive,30-Jul-18,Charcoal Fabric ,love echo good music sounds playing  alexa understands commands difficult times find specific playlists songs spotify  good amazon music lacking major programs ,1
21,positive,30-Jul-18,Charcoal Fabric ,love alexa  use play music  play radio itunes  play podcasts anypod  set reminders  listen flash briefing news weather every morning  rely custom lists  like able voice control volume  we're sure we'll continue find new uses sometimes bit frustrating alexa understand we're saying ,1
22,positive,30-Jul-18,Heather Gray Fabric ,set days  still adding smart home devices  speaker great playing music  like size  stationed kitchen counter it’s intrusive look ,1
23,positive,30-Jul-18,Charcoal Fabric ,love  plays sleep sounds immediately ask,1
24,neutral,30-Jul-18,Sandstone Fabric ,got second unit bedroom  expecting sounds improved didnt really see difference   overall  big improvement 1st generation ,1
25,positive,30-Jul-18,Sandstone Fabric ,amazing product,1
26,positive,30-Jul-18,Charcoal Fabric ,love echo  easy operate  loads fun everything advertised  use mainly play favorite tunes test alexa's knowledge ,1
27,positive,30-Jul-18,Charcoal Fabric ,sounds great  love ,1
28,positive,30-Jul-18,Charcoal Fabric ,fun item play get used using   sometimes hard time answering questions ask  think better ,1
29,positive,30-Jul-18,Charcoal Fabric ,like one,1
30,positive,30-Jul-18,Sandstone Fabric ,still learning capabilities far pretty pretty pretty good,1
31,positive,30-Jul-18,Charcoal Fabric ,like,1
32,positive,30-Jul-18,Sandstone Fabric ,works well  needs learning command  unique  owners users like  alexa  learn  tasha’s birthday   alexa  learn  definition fine  etc  great,1
33,neutral,30-Jul-18,Heather Gray Fabric ,speakers sound pretty good small setup pretty easy   bought two reason rate 3 followed instructions synching music units   know i've done correctly sync   primary motivation purchasing multiple units ,1
34,positive,30-Jul-18,Charcoal Fabric ,device awesome ,1
35,positive,30-Jul-18,Charcoal Fabric ,bought compare speaker quality first generation speaker like sound better   ship daughter though like fact first generation chargeable base bought keeps mobile needs better sound ,1
36,positive,30-Jul-18,Sandstone Fabric ,love echo  still learning things  wasn’t able follow instructions included package  found great one u tube ,1
37,positive,30-Jul-18,Heather Gray Fabric ,speaker better 1st generation echo,1
38,positive,30-Jul-18,Charcoal Fabric ,thing way cool   get one   want cool  ,1
39,positive,30-Jul-18,Heather Gray Fabric ,first digital assistant i'm giving good review  speaker really good cheap price prime day  fun play used alarm clock  that's going get first place  ended echo  go one definitely try like best number devices connect  purchase came smart plug $10 connect lamp  alexa  turn lights ,1
40,positive,30-Jul-18,Charcoal Fabric ,husband likes able use listen music   wish knew capabilities,1
41,positive,30-Jul-18,Charcoal Fabric ,android would allow alexa connect  fortunately  sister apple cell  hour  tech support fixed glitches  running ,1
42,positive,30-Jul-18,Charcoal Fabric ,far good,1
43,positive,30-Jul-18,Charcoal Fabric ,tried play certain broadway shows like camelot gives ne group camelot ,1
44,positive,30-Jul-18,Sandstone Fabric ,great,1
45,positive,30-Jul-18,Walnut Finish ,satisfied echo  alexa controls lights family room wife listen jimmy buffet asking alexa ,1
46,negative,30-Jul-18,Charcoal Fabric ,like siri  fact  siri answers accurately alexa   see real need household  though good bargain prime day deals ,0
47,positive,30-Jul-18,Charcoal Fabric ,love echo  still learning every thing works tons fun ,1
48,positive,30-Jul-18,Heather Gray Fabric ,love much,1
49,neutral,30-Jul-18,Charcoal Fabric ,different apple  play specific list music must amazon spotify  plus prime etc  account   must pay play   music   3 stars reason   everything else    ,1
50,positive,30-Jul-18,Charcoal Fabric ,excelente  lo unico es que esta en espa ol ,1
51,positive,30-Jul-18,Charcoal Fabric ,i'm still learning use  far echo great  sound actually much better expecting ,1
52,positive,30-Jul-18,Charcoal Fabric ,works you’d expect  also good sound quality considering price  70 00 sale  features ,1
53,positive,30-Jul-18,Charcoal Fabric ,sound echo 2nd generation phenomenal   mention love alexa   helpful ,1
54,neutral,30-Jul-18,Sandstone Fabric ,like google better,1
55,positive,30-Jul-18,Charcoal Fabric ,lets play learn get ,1
56,positive,30-Jul-18,Charcoal Fabric ,works advertised  easy setup  still learning ,1
57,positive,30-Jul-18,Charcoal Fabric ,great sound easy set ,1
58,positive,30-Jul-18,Oak Finish ,love alexa  bought others friends,1
59,positive,30-Jul-18,Charcoal Fabric ,love echo purchased company husband 83 alexa great say name tells joke plays favorite songs,1
60,positive,30-Jul-18,Heather Gray Fabric , ,1
61,positive,30-Jul-18,Charcoal Fabric ,love able listen music easily  still learning features available,1
62,positive,30-Jul-18,Heather Gray Fabric ,really know could use device  used things  need overview,1
63,positive,30-Jul-18,Heather Gray Fabric ,love wish built hub,1
64,positive,30-Jul-18,Charcoal Fabric ,use primarily play music   works wonderfully   still getting used many things   amazon sent several tips since got  thanks help ,1
65,positive,30-Jul-18,Charcoal Fabric ,easy set ,1
66,positive,30-Jul-18,Charcoal Fabric ,fast response amazing   clear concise answers sound quality fantastic   still getting used alexia usde echo full extent ,1
67,positive,30-Jul-18,Charcoal Fabric ,you’re need na na nana ,1
68,positive,30-Jul-18,Charcoal Fabric ,everything expected ,1
69,positive,30-Jul-18,Sandstone Fabric ,love echo   works like said would   #34 smart #34  home  cannot speak function  everything else good ,1
70,positive,30-Jul-18,Charcoal Fabric ,great sound small package easy set use  fun ,1
71,positive,30-Jul-18,Charcoal Fabric ,works sounds great ,1
72,positive,30-Jul-18,Heather Gray Fabric ,sound amazing many collections music,1
73,positive,30-Jul-18,Sandstone Fabric ,setting,1
74,positive,30-Jul-18,Heather Gray Fabric ,doesn’t always listen,1
75,positive,30-Jul-18,Charcoal Fabric ,it’s awesome,1
76,positive,30-Jul-18,Heather Gray Fabric ,bought control fios television  works well  i’m hoping time control fios  discovered things alexa  play music ask  great sound alexa  play games  play radio stations  play old time radio programs like long ranger  alexa many  apps  add abilities  day played madlibs  great fun  also alexa control household appliances  purchased alexa compatible power strips control lighting  fans tv components  i’m looking forward implementing controll  also add alexa components chosen music play rooms components located ,1
77,positive,30-Jul-18,Heather Gray Fabric ,speaker excellent sound works perfectly ,1
78,positive,30-Jul-18,Charcoal Fabric ,like,1
79,positive,30-Jul-18,Charcoal Fabric ,love  everything,1
80,positive,30-Jul-18,Heather Gray Fabric ,little nervous received new echo i'm really tech savvy  found bit intimidating first take long figure  i'm happy purchase thinking adding echo spot ,1
81,positive,30-Jul-18,Charcoal Fabric ,like still learning use ,1
82,positive,30-Jul-18,Charcoal Fabric ,great technology  can't believe speaker volume quality wonderful  wish bought another one ,1
83,positive,30-Jul-18,Heather Gray Fabric ,purchased echo dot husband fathers day   uses constantly hearing quality sound echo  2nd generation  brainer   best gift ever ,1
84,positive,30-Jul-18,Charcoal Fabric ,works fine ,1
85,positive,30-Jul-18,Heather Gray Fabric , ,1
86,positive,30-Jul-18,Charcoal Fabric ,clear music,1
87,positive,30-Jul-18,Charcoal Fabric ,fun use  good sound quality,1
88,positive,30-Jul-18,Sandstone Fabric ,echo works well  able sync amazon music devices ,1
89,positive,30-Jul-18,Charcoal Fabric ,works great  think amazon charge another cent unlimited music 1  prime 2  buy echo ,1
90,positive,30-Jul-18,Charcoal Fabric ,already echo dot  echo even better fuller sound  also setup lets phone calls made contact list great ,1
91,positive,30-Jul-18,Charcoal Fabric ,speaker sounds really good,1
92,positive,30-Jul-18,Heather Gray Fabric ,good sound works well,1
93,positive,30-Jul-18,Charcoal Fabric ,love alexa  savvy support helpful patient ,1
94,positive,30-Jul-18,Charcoal Fabric ,love  thinking getting one prime day discount offered  could pass  fun ask alexa play song group comes playlist amazon prime music  also connect iphone bluetooth play music pandora youtube videos using alexa speaker  i've fun asking alexa different types questions information like weather  news even time countries  downside limited data wifi plan  alexa uses burns playing music ,1
95,positive,30-Jul-18,Charcoal Fabric ,like far  lot try yet ,1
96,positive,30-Jul-18,Heather Gray Fabric ,love   using strictly music great ,1
97,positive,30-Jul-18,Sandstone Fabric ,love echo   love size  material speaker quality  hooked one light easily work additional lights thermostat  next echo dot bedroom  lot echo think  traffic  weather  trivia  etc ,1
98,positive,30-Jul-18,Charcoal Fabric ,love ,1
99,positive,30-Jul-18,Charcoal Fabric ,entire family loves alexa echo  she’s part family ,1
100,positive,30-Jul-18,Walnut Finish ,great fun getting know functions product   wow   family fun homework help   talking grandchildren also echo  huge bonus   can't wait learn,1
101,positive,30-Jul-18,Heather Gray Fabric ,love ,1
102,positive,30-Jul-18,Heather Gray Fabric ,awesome thing  love alexa,1
103,positive,30-Jul-18,Charcoal Fabric ,worked exactly expected speaker great sound  perfect classroom ,1
104,positive,30-Jul-18,Charcoal Fabric ,love  love new little gadget    made lives much easier   like personal secretary living home   hardly need cd's anymore  since alexa plays everything need   going get alexa dots soon rooms   thanks ,1
105,positive,30-Jul-18,Heather Gray Fabric ,speaker surprising quality  happy purchase ,1
106,positive,30-Jul-18,Charcoal Fabric ,easy set  works wonderful love ,1
107,positive,30-Jul-18,Sandstone Fabric ,i'm really impressed sound quality playing music device   bass sounds almost like coming bigger speaker props amazon ,1
108,positive,30-Jul-18,Charcoal Fabric ,it’s still great product sound quality seem worse don’t get wrong  definitely get used within hour  definitely feels like echo gen 1 sound quality better besides   it’s great addition able play bluetooth wifi  it’s even better ,1
109,positive,30-Jul-18,Sandstone Fabric ,outlet work  disappointed ,1
110,positive,30-Jul-18,Charcoal Fabric ,great device  responsive helpful,1
111,negative,30-Jul-18,Charcoal Fabric ,sound terrible u want good music get bose,0
112,positive,30-Jul-18,Charcoal Fabric ,liked sound   troubling paid extra money access million songs  sometimes work  ex  alexa play italian songs #34   #34  understand  play opera tosca  response  #34 sorry #34 ,1
113,positive,30-Jul-18,Charcoal Fabric ,easy set use  bad plugged  would nice take outside operate battery recharged ,1
114,positive,30-Jul-18,Charcoal Fabric ,still learning ways use   real hit grandkids ask play music dance    5 7 yrs   cute ,1
115,positive,30-Jul-18,Oak Finish ,4 5 5 stars  generally like product  great ask like playing music  setting timers  making calls  reason rate 5 5 sometimes connection dies echo stops playing music shows red ring  seems connection issue  overall  great product ,1
116,positive,30-Jul-18,Charcoal Fabric ,works great  upgraded echo dot full size echo  couldn’t happier ,1
117,positive,30-Jul-18,Charcoal Fabric ,alexa  else say,1
118,positive,30-Jul-18,Charcoal Fabric ,upgraded lilttle echo dot  happy sound,1
119,positive,30-Jul-18,Sandstone Fabric ,excellent product  set ease well ,1
120,positive,30-Jul-18,Heather Gray Fabric ,i've first gen echo since first came worked well  purchased 2nd gen prime day far i'm happy  seems improved speaker provides enhanced sound music ,1
121,positive,30-Jul-18,Charcoal Fabric ,love echo smart speaker   love volume clarity   easy set   wonderful gift age ,1
122,positive,30-Jul-18,Charcoal Fabric ,wonderful product fast delivery ,1
123,positive,30-Jul-18,Charcoal Fabric ,initially harder set called tech wasn’t knowledgeable working great ,1
124,positive,30-Jul-18,Heather Gray Fabric ,easy set family love it’s ,1
125,positive,30-Jul-18,Charcoal Fabric ,great sound responsive voice commands ,1
126,positive,30-Jul-18,Sandstone Fabric ,live long without echo   get enjoy music style  asking alexa   going greade wireless   love echo   love alexa  ,1
127,positive,30-Jul-18,Heather Gray Fabric ,cool product  speaker sounds good spotify blasting ,1
128,positive,30-Jul-18,Charcoal Fabric ,much fun alexa  love able listen music i’m across room busy something else ,1
129,positive,30-Jul-18,Charcoal Fabric ,far seems nice item  picks voice understands without problems  day asked turn music next room heard fine  i've used listen music check weather  done things well ,1
130,positive,30-Jul-18,Charcoal Fabric ,love echo,1
131,positive,30-Jul-18,Charcoal Fabric ,love helpful  use remembering things sleep  ask anything  week still learning ,1
132,positive,30-Jul-18,Charcoal Fabric ,better 1st gen every way except one   really miss ring top volume control   quicker easier grab top twist without look buttons find  #34 #34  one press times   also wish bass bit better    great device i'm happy ,1
133,positive,30-Jul-18,Charcoal Fabric ,love alexa ,1
134,positive,30-Jul-18,Charcoal Fabric ,far like  ,1
135,positive,30-Jul-18,Heather Gray Fabric ,thoroughly enjoying ecoo   love read audiobook office simply open audiobook kindle continue elsewhere  wonderful listening music mood book  great setting reminders much ,1
136,positive,30-Jul-18,Charcoal Fabric ,still love,1
137,positive,30-Jul-18,Charcoal Fabric ,love,1
138,positive,30-Jul-18,Heather Gray Fabric ,love sound quality unit  clear sound ,1
139,positive,30-Jul-18,Sandstone Fabric ,listening talk radio morning turning lights etc  system excellent job full house sound system streaming sirius ,1
140,positive,30-Jul-18,Charcoal Fabric ,week  still learning alexa   learning process   love music call time   listen podcasts radio stations   started keeping shopping lists grocery lists  love   don’t search paper pencil   getting time temperature great  wait weather reports   sound good   fussy woofers  tweeters  base   etc   echo fine   afternoon going try  dropping son gets home   going surprise ,1
141,negative,30-Jul-18,Charcoal Fabric ,much features ,0
142,positive,30-Jul-18,Charcoal Fabric ,great sound quality  great features  great product  multi room music cool ,1
143,positive,30-Jul-18,Charcoal Fabric ,cool,1
144,positive,30-Jul-18,Charcoal Fabric ,everyone echo two three  bought echo qvc ,1
145,neutral,30-Jul-18,Sandstone Fabric ,annoying everything show alexa able downloaded  spend  much time trying figure phrase machine may well look,1
146,positive,30-Jul-18,Charcoal Fabric ,alexa since beginning   accidentally spilled water replaced 2nd generation   decided without echo   setup easy working within minutes ,1
147,positive,30-Jul-18,Charcoal Fabric ,like able tell alexia music want hear  sometimes trouble finding song specific title ,1
148,positive,30-Jul-18,Heather Gray Fabric ,like looks better original echo   moved old echo basement family room  nice sound ,1
149,positive,30-Jul-18,Charcoal Fabric ,echo wonderful i'm still learning use  music requests somewhat limited ,1
150,neutral,30-Jul-18,Heather Gray Fabric ,know half things asked  can't recognize sprinkler wifi controller  even though product details says compatible  can't program change wifi thermostat settings matched wifi router  handy music player  that's amazon music ,1
151,positive,30-Jul-18,Sandstone Fabric ,love,1
152,positive,30-Jul-18,Sandstone Fabric ,awesome understands kids,1
153,positive,30-Jul-18,Charcoal Fabric ,pleasantly surprised sound quality many features  nice easily hear particular artist hear books simple command  looking forward exploring options device ,1
154,positive,30-Jul-18,Heather Gray Fabric ,met exceeded expectations  easy set really quick responses ,1
155,positive,30-Jul-18,Charcoal Fabric ,like fact get kind music prime want request alexa  liked informative photo little pamphlet wish included connect tv etc  commands alexa   really love music ,1
156,positive,30-Jul-18,Charcoal Fabric ,found way access echo thorough prime account   think part top line video  music  etc   also think setup app define  example music like  well integrated echo   tried ask playlist echo sure even though set play list settings   also like fact words exact match playlist names  never remember like ready nature echo respond queries ,1
157,positive,30-Jul-18,Charcoal Fabric ,great item added audible books makes even better  thank ,1
158,positive,30-Jul-18,Charcoal Fabric ,prime day 2nd gen echo sale resist  beginning smart home set happier say alexa done amazing job connecting  smart  devices  thanks  control lights  smart plugs  tv  etc  trouble connecting echo wifi phone  app works perfectly fine let's add skills  routines  smart devices  timers  much  sound quality good enough  since audiophile  alexa hear voice even watching movies high volume  design great modern  definitely add nice touch home change covers like sale  overall  great addition home enables many possibilities  yet  sure add alexa home ,1
159,positive,30-Jul-18,Oak Finish ,versatile fun  ,1
160,positive,30-Jul-18,Heather Gray Fabric ,works great  killer speaker  wife son love ,1
161,positive,30-Jul-18,Walnut Finish ,regret waiting long purchase item  surprised pleased sound quality ,1
162,negative,30-Jul-18,Sandstone Fabric ,stopped working 2 weeks  follow commands  really fun working ,0
163,positive,30-Jul-18,Heather Gray Fabric ,far love working getting things set love grocery list app,1
164,positive,30-Jul-18,Charcoal Fabric ,performs pretty much expected  disappointed provide terminology need play various kinds music without subscribing amazon music service   understand music choices may limited  without knowing ask  cannot access music provided free along echo purchase   chart showing language need use ,1
165,positive,30-Jul-18,Charcoal Fabric ,easy set ,1
166,neutral,30-Jul-18,Charcoal Fabric ,like product except speakers high quality expected,1
167,positive,30-Jul-18,Walnut Finish ,great investment  alexa helped made laugh ,1
168,positive,30-Jul-18,Heather Gray Fabric ,yet another exho home love ,1
169,positive,30-Jul-18,Charcoal Fabric ,love  plan gender music big band jazz  easy find local radio  sound good stop voice command get phone call ,1
170,positive,30-Jul-18,Charcoal Fabric ,good value,1
171,positive,30-Jul-18,Heather Gray Fabric ,super easy set loving new echo ,1
172,positive,30-Jul-18,Charcoal Fabric ,whats like speaker   ask alexa,1
173,positive,30-Jul-18,Charcoal Fabric ,best father's day gift  dad joked mom alexa one listening  repeated  stories going forward ,1
174,positive,30-Jul-18,Charcoal Fabric ,great addition breakfast room kitchen   tunes information instantly available   slowly learning features ,1
175,positive,30-Jul-18,Heather Gray Fabric ,sound quality,1
176,negative,30-Jul-18,Heather Gray Fabric ,sad joke  worthless ,0
177,positive,30-Jul-18,Oak Finish ,entertainment,1
178,positive,30-Jul-18,Heather Gray Fabric ,good quality,1
179,positive,30-Jul-18,Charcoal Fabric ,works great sounds great miss beat wish battery better portability,1
180,positive,30-Jul-18,Charcoal Fabric ,loved till someone stoled  can't afford replace yet going ,1
181,positive,29-Jul-18,Charcoal Fabric ,alexa rocks,1
182,positive,29-Jul-18,Charcoal Fabric ,got gift love  never would bought one   allows play music amozon prime music   that's worth   also  gives new's briefs tells jokes ,1
183,neutral,29-Jul-18,Heather Gray Fabric , ,1
184,positive,29-Jul-18,Charcoal Fabric ,mom bought echo dots repeated ask take one great  told   two days  made take  6 hours later could live life without   it’s amazing  four large speakers small echo dot  returning  say you’re going order alexa speaker  go big get echo  otherwise tou’ll returning two echo dots couldn’t live without ,1
185,positive,29-Jul-18,Heather Gray Fabric ,love  great product ,1
186,positive,29-Jul-18,Charcoal Fabric ,easy set user friendly,1
187,negative,29-Jul-18,Charcoal Fabric ,really disappointed alexa plug wall socket time   fault checking  made assumption company technologically advanced amazon would sell product rechargeable battery   could return  would apple music boom speaker give flexibility alexa ,0
188,neutral,29-Jul-18,Charcoal Fabric ,think  #34 2nd gen #34  sounds good 1st   aux  could add external speaker   going get dot   2nd issue  unique unit understand can't override default prevents playing blue tooth speaker playing  #34 group #34   get delay using bt speaker   units heard able play group using bt speaker ,1
189,positive,29-Jul-18,Charcoal Fabric ,everything,1
190,neutral,29-Jul-18,Heather Gray Fabric ,like interaction asking questions  don’t like can’t ask setup schedule connected lamp ,1
191,positive,29-Jul-18,Charcoal Fabric ,supberb sound  definitely worth extra money listen lots music ,1
192,positive,29-Jul-18,Charcoal Fabric ,really love amazon echo  think sound quality great lot fun  really handy music get updates weather sports ,1
193,positive,29-Jul-18,Charcoal Fabric ,love   grandkids ,1
194,positive,29-Jul-18,Heather Gray Fabric ,far worked well  always intuitive link different devices   skills  getting hang ,1
195,positive,29-Jul-18,Charcoal Fabric ,works advertised,1
196,positive,29-Jul-18,Sandstone Fabric ,love ,1
197,positive,29-Jul-18,Sandstone Fabric ,love new addition house  speaker quality great love alexa  two   complaints  suggestions future series  would better communication ability  example  smart lights house  unless specify kitchen light 1 kitchen light 2 prior command either won’t respond says doesn’t recognize  may  want alexa respond say thank afterwards  repeat alexa thank times won’t respond  husband  know sounds odd  laugh  maybe it’s southern thing want alexa manners ,1
198,positive,29-Jul-18,Sandstone Fabric ,like everything  music  trivia games  weather ,1
199,positive,29-Jul-18,Charcoal Fabric ,described received time   like automatic enrolment music ,1
200,positive,29-Jul-18,Charcoal Fabric ,great device,1
201,neutral,29-Jul-18,Sandstone Fabric ,owned echo overa year new lacks easy way increase decrease volume without telling increase decrease volume hard wife since english second language born korea  sound echo superb  we’ll keep ,1
202,positive,29-Jul-18,Charcoal Fabric ,love   kitchen works well ,1
203,positive,29-Jul-18,Charcoal Fabric ,nice   i'm impressed   wish say though ,1
204,positive,29-Jul-18,Charcoal Fabric ,love product  nice easy access much info ,1
205,negative,29-Jul-18,Sandstone Fabric ,got great sound bass work time  still hot miss recognizes things,0
206,positive,29-Jul-18,Charcoal Fabric ,still discovering echo ,1
207,positive,29-Jul-18,Charcoal Fabric ,amazing paroduct,1
208,positive,29-Jul-18,Heather Gray Fabric ,good hearing range sound quality  bit complicated set quite understand lot even speaking slowly clearly love flash briefing feature interfacing abode home security system ,1
209,positive,29-Jul-18,Charcoal Fabric ,speaker sounds good,1
210,positive,29-Jul-18,Charcoal Fabric ,absolutely love ,1
211,positive,29-Jul-18,Charcoal Fabric ,best part product control thermostat lights house   isn’t anything dislike ,1
212,positive,29-Jul-18,Charcoal Fabric ,we're thoroughly enjoying amazon echo  installation easy using alexa app  purchased 2 kasa smart plugs control living room lights  installation easy using kasa app  sinqued right echo  we're enjoying playing music echo sound quality awesome  we've added kasa smart bulb kitchen  setup seamless  we're looking forward adding automation home ,1
213,positive,29-Jul-18,Charcoal Fabric ,home entertainment,1
214,positive,29-Jul-18,Heather Gray Fabric ,cool product  easy setup  fun use sound quality much better anticipated ,1
215,positive,29-Jul-18,Heather Gray Fabric ,love   great sound  easy connect use ,1
216,positive,29-Jul-18,Charcoal Fabric ,work fairly new smart tv  that's mainly tv manufacturers lg  fault due supporting anything older tvs year  smart locks also need additional piece equipment order connect well  speakers sound great works well ,1
217,positive,29-Jul-18,Charcoal Fabric ,great sound little speaker,1
218,positive,29-Jul-18,Charcoal Fabric ,enjoy,1
219,positive,29-Jul-18,Sandstone Fabric , ,1
220,positive,29-Jul-18,Heather Gray Fabric ,cool,1
221,positive,29-Jul-18,Charcoal Fabric ,good quality  great sound quality,1
222,positive,29-Jul-18,Charcoal Fabric ,works perfectly,1
223,positive,29-Jul-18,Heather Gray Fabric ,great product  sometimes alexa understand commands fire tv   fabulous speaker ,1
224,positive,29-Jul-18,Charcoal Fabric ,love echo great sound smart ,1
225,positive,29-Jul-18,Heather Gray Fabric ,sure   love  ,1
226,positive,29-Jul-18,Charcoal Fabric ,plays great,1
227,positive,29-Jul-18,Charcoal Fabric ,works absolutely great,1
228,positive,29-Jul-18,Charcoal Fabric ,amazing product  great sound quality ,1
229,positive,29-Jul-18,Charcoal Fabric ,best thing i've invested thank much  ,1
230,positive,29-Jul-18,Charcoal Fabric ,extremely impressed item  bought  #34 warehouse #34   #34 outlet #34   #34 minor imperfection  can't tell even one  works great  come packaging  sealed damage missing anything  like sound quality  see knock  bose great family  easy use  minor learning curve learns voice  integrates seamlessly amazon services can't wait get classroom  lot fun even speaker  let alone plan ,1
231,positive,29-Jul-18,Sandstone Fabric ,love echo show   bedroom wonderful  music  info  sleeping sounds ,1
232,positive,29-Jul-18,Sandstone Fabric ,awesome life changer  seriously  able start morning alexa   #34 wake #34  alarm playing music  gotten used voice  another room  #34 listen #34  say  love echos  hesitate  get one price  speaker unbelievable  buying cordless holder  take echo anywhere  love purchase love alexa ,1
233,negative,29-Jul-18,Sandstone Fabric ,super impressed alexa  prime lapsed  play anything  smart enough differentiate among spotify accounts can't use either  randomly speaks nobody talking  today unplugged sure i'll ever use alexa ,0
234,positive,29-Jul-18,Charcoal Fabric ,like everything  ,1
235,positive,29-Jul-18,Heather Gray Fabric ,liked 100 ,1
236,positive,29-Jul-18,Charcoal Fabric ,never issue buying use electronics long get good like new  read comment see used ,1
237,positive,29-Jul-18,Charcoal Fabric ,family really loves new echo,1
238,positive,29-Jul-18,Heather Gray Fabric ,bought wife loves,1
239,positive,29-Jul-18,Charcoal Fabric ,fun got today pod go car use house ,1
240,positive,29-Jul-18,Sandstone Fabric ,like,1
241,positive,29-Jul-18,Sandstone Fabric ,third echo  worth every penny  like 3 household employees small flat rate  keep bedrooms living room  drop use intercom  listen music  answer quick questions  alarms wake school  etc ,1
242,positive,29-Jul-18,Charcoal Fabric ,listen music set timer,1
243,positive,29-Jul-18,Sandstone Fabric ,received echo perfect condition  device easy set responds quickly without issues  alexa great addition family ,1
244,positive,29-Jul-18,Charcoal Fabric ,good sound  like music scheduling  like get random thoughts recorded think  jokes cute ,1
245,positive,29-Jul-18,Charcoal Fabric ,purchased beginning learn   far pleased amazed different actions perform   enjoying looking forward learning options provides ,1
246,positive,29-Jul-18,Sandstone Fabric ,echo great others  even though smaller ,1
247,positive,29-Jul-18,Charcoal Fabric ,funny buy something looks fun winds totally useful part home   loving ,1
248,neutral,29-Jul-18,Charcoal Fabric ,bought replace  #34 dot #34  living room  speaker slightly better  hears better tv  unfortunately  understand respond requests well dot  frequently request 2 3 times get want  dot usually exactly want first request  consider upgrade ,1
249,positive,29-Jul-18,Charcoal Fabric ,good experience  far second generation echo  many things learn  time yet  right  mostly enjoying music  weather updates  using alarm feature  personality  also purchased mini smart socket yes  excited begin using,1
250,positive,29-Jul-18,Charcoal Fabric ,i’m trouble connecting tv  i’m exactly tech smart  i’m sure one grandsons figure  far i’ve using mostly music ,1
251,positive,29-Jul-18,Charcoal Fabric ,simply love echo  hardly watch tv anymore  i'm busy listening music  speaker pretty goo size  fun skills really make echo fun whole family ,1
252,positive,29-Jul-18,Charcoal Fabric ,enjoyed entire echo experience,1
253,positive,29-Jul-18,Charcoal Fabric ,easy set ,1
254,positive,29-Jul-18,Charcoal Fabric ,echo amazing device   many times seems intuitive   times ask something seems clear simple get result   installation fairly straightforward  messed several times simply thought step complete   actually made lose ground figured   advice patient  app let know move next step biggest issue moment several echo devices home would like use intercoms  told done   however  can't make echos aware others existence   ask alexa answers instructions change name   know likely fault  would think designers would anticipate make easier find needed instructions   small deal many device savvy people  challenge ,1
255,positive,29-Jul-18,Heather Gray Fabric ,loving much,1
256,positive,29-Jul-18,Heather Gray Fabric ,original alexa tap far 2nd generation best  i'm happy see making improvements new one would great updates little 's  think would help lot bugs  happy play music throughout whole house adjust bass treble  thank,1
257,positive,29-Jul-18,Charcoal Fabric ,pleased echo 2nd generation  nice alexa available music  weather  news  probably lot haven’t discovered ,1
